ticker
A
AAPL
ABT
ADBE
ADI
ADM
ADP
ADSK
AEE
AEP
AES
AET
AFL
AIG
AIV
AIZ
AKAM
ALL
AMAT
AMD
AMGN
AMP
AMT
AMZN
AN
ANDV
ANF
AON
APA
APD
ASH
ATI
AVB
AVY
AXP
AZO
BA
BAC
BAX
BBY
BC
BDX
BEN
BF-B
BK
BMS
BMY
BSX
BXP
C
CAG
CAH
CAR
CAT
CB
CBRE
CCL
CHRW
CI
CIEN
CINF
CL
CLX
CMCSA
CME
CMI
CMS
CNC
CNP
CNX
COF
COP
COST
CPB
CSCO
CSX
CTAS
CTSH
CVS
CVX
D
DD
DDR
DDS
DE
DGX
DHI
DHR
DIS
DLX
DOV
DRI
DTE
DUK
DVN
DXC
EA
EBAY
ECL
ED
EFX
EIX
EL
EMN
EMR
EOG
EQR
ESRX
ETN
ETR
EXC
EXPD
EXPE
F
FCX
FDX
FE
FHN
FIS
FISV
FITB
FLR
FMC
FMCC
FNMA
GD
GE
GILD
GIS
GLW
GNW
GOOGL
GPC
GS
GT
GWW
HAL
HAS
HBAN
HD
HIG
HOG
HON
HPQ
HRB
HST
HSY
HUM
IBM
ICE
IFF
INTC
INTU
IP
ITT
ITW
JBL
JCI
JEF
JNJ
JPM
KBH
KEY
KIM
KLAC
KMB
KO
KR
KSS
L
LEG
LEN
LH
LLY
LMT
LNC
LOW
LPX
LUV
M
MAR
MAS
MAT
MBI
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
MKC
MMM
MO
MOLX
MRK
MS
MSFT
MSI
MTB
MTG
MTW
MU
MUR
NBR
NEE
NEM
NI
NKE
NOC
NOV
NSC
NTAP
NTRS
NUE
NVDA
NWL
NYT
OMC
ORCL
OXY
PAYX
PBI
PCAR
PCG
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PLD
PNC
PNW
PPG
PPL
PRU
PSA
PTC
QCOM
R
RF
RHI
RIG
RL
ROK
SANM
SBUX
SCHW
SHW
SLB
SLM
SNA
SO
SPG
SPGI
SRE
SSP
STT
STZ
SVU
SWK
SYK
SYY
T
TAP
TDC
TEL
TER
TEX
TGT
THC
TIE
TJX
TLAB
TMO
TPR
TROW
TRV
TSN
TT
TWX
TXN
TXT
UIS
UNH
UNM
UNP
UPS
USB
VFC
VIAV
VLO
VMC
VNO
VRSN
VZ
WAT
WEN
WFC
WHR
WM
WMB
WMT
WOR
WU
WY
XEL
XOM
XRX
YUM
ZBH
ZION
