ticker,stooq_rows,error
X,0,HTTP Error 404: Not Found
BSC,0,HTTP Error 404: Not Found
CELG,0,HTTP Error 404: Not Found
ANTM,0,HTTP Error 404: Not Found
BLL,0,HTTP Error 404: Not Found
WLP,0,HTTP Error 404: Not Found
ATVI,0,HTTP Error 404: Not Found
XLNX,0,HTTP Error 404: Not Found
BNI,0,HTTP Error 404: Not Found
BRCM,0,HTTP Error 404: Not Found
