ticker,stooq_rows,note
X,0,no data / html error page
BSC,0,no data / html error page
CELG,0,no data / html error page
ANTM,0,no data / html error page
BLL,0,no data / html error page
WLP,0,no data / html error page
ATVI,0,no data / html error page
XLNX,0,no data / html error page
BNI,0,no data / html error page
BRCM,0,no data / html error page
